file,code,name,unit,freq,agg
CO_Q,TK99F0000601GCQ12000,D.I./業況/中堅企業/全産業/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1000601GCQ02000,D.I./業況/中堅企業/製造業/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1000601GCQ12000,D.I./業況/中堅企業/製造業/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1020601GCQ02000,D.I./業況/中堅企業/_繊維/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1020601GCQ12000,D.I./業況/中堅企業/_繊維/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1030601GCQ02000,D.I./業況/中堅企業/_木材・木製品/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1030601GCQ12000,D.I./業況/中堅企業/_木材・木製品/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1050601GCQ02000,D.I./業況/中堅企業/_紙・パルプ/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1050601GCQ12000,D.I./業況/中堅企業/_紙・パルプ/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1060601GCQ02000,D.I./業況/中堅企業/_化学/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1060601GCQ12000,D.I./業況/中堅企業/_化学/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1070601GCQ02000,D.I./業況/中堅企業/_石油・石炭製品/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1070601GCQ12000,D.I./業況/中堅企業/_石油・石炭製品/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1100601GCQ02000,D.I./業況/中堅企業/_窯業・土石製品/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1100601GCQ12000,D.I./業況/中堅企業/_窯業・土石製品/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1110601GCQ02000,D.I./業況/中堅企業/_鉄鋼/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1110601GCQ12000,D.I./業況/中堅企業/_鉄鋼/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1120601GCQ02000,D.I./業況/中堅企業/_非鉄金属/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1120601GCQ12000,D.I./業況/中堅企業/_非鉄金属/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1010601GCQ02000,D.I./業況/中堅企業/_食料品/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1010601GCQ12000,D.I./業況/中堅企業/_食料品/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1130601GCQ02000,D.I./業況/中堅企業/_金属製品/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1130601GCQ12000,D.I./業況/中堅企業/_金属製品/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1149601GCQ02000,D.I./業況/中堅企業/_はん用・生産用・業務用機械/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1149601GCQ12000,D.I./業況/中堅企業/_はん用・生産用・業務用機械/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1141601GCQ02000,D.I./業況/中堅企業/__はん用機械/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1141601GCQ12000,D.I./業況/中堅企業/__はん用機械/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1142601GCQ02000,D.I./業況/中堅企業/__生産用機械/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1142601GCQ12000,D.I./業況/中堅企業/__生産用機械/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1143601GCQ02000,D.I./業況/中堅企業/__業務用機械/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1143601GCQ12000,D.I./業況/中堅企業/__業務用機械/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1150601GCQ02000,D.I./業況/中堅企業/_電気機械/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1150601GCQ12000,D.I./業況/中堅企業/_電気機械/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1160601GCQ02000,D.I./業況/中堅企業/_輸送用機械/実績,%ポイント,QUARTERLY,last
